pnl,ash_imbalance,ash_take,ema_alpha,target_scale,sell_thresh
-208838.0,3.0,1.5,0.2,1.3,6.0
-209172.0,3.0,1.5,0.2,1.3,3.0
-210274.0,3.0,0.5,0.2,1.3,6.0
-210330.0,3.0,1.5,0.2,1.0,6.0
-210608.0,3.0,0.5,0.2,1.3,3.0
-210780.0,3.0,1.5,0.2,1.0,3.0
-211766.0,3.0,0.5,0.2,1.0,6.0
-212216.0,3.0,0.5,0.2,1.0,3.0
-219460.0,8.0,1.5,0.2,1.3,6.0
-219794.0,8.0,1.5,0.2,1.3,3.0
-220952.0,8.0,1.5,0.2,1.0,6.0
-221402.0,8.0,1.5,0.2,1.0,3.0
-227059.0,8.0,0.5,0.2,1.3,6.0
-227393.0,8.0,0.5,0.2,1.3,3.0
-228551.0,8.0,0.5,0.2,1.0,6.0
-229001.0,8.0,0.5,0.2,1.0,3.0
-748423.0,3.0,1.5,0.08,1.3,6.0
-749134.0,3.0,1.5,0.08,1.3,3.0
-749859.0,3.0,0.5,0.08,1.3,6.0
-749938.0,3.0,1.5,0.08,1.0,6.0
-750455.0,3.0,1.5,0.08,1.0,3.0
-750570.0,3.0,0.5,0.08,1.3,3.0
-751374.0,3.0,0.5,0.08,1.0,6.0
-751891.0,3.0,0.5,0.08,1.0,3.0
-759045.0,8.0,1.5,0.08,1.3,6.0
-759756.0,8.0,1.5,0.08,1.3,3.0
-760560.0,8.0,1.5,0.08,1.0,6.0
-761077.0,8.0,1.5,0.08,1.0,3.0
-766644.0,8.0,0.5,0.08,1.3,6.0
-767355.0,8.0,0.5,0.08,1.3,3.0
-768159.0,8.0,0.5,0.08,1.0,6.0
-768676.0,8.0,0.5,0.08,1.0,3.0
